id,编号
name,名称
user,用户
remark,备注
date,时间
amount,金额
INCOME,收入
EXPEND,支出
Create,创建
Update,更新
Reset,重置
supplier,供应商
product,商品
pricePerUnit,单价
quantity,数量
logisticAmount,物流金额
unitLogisticAmount,物流单价
User,用户
User.displayName,显示名称
User.username,用户名
User.password,密码
CostCenter,部门/项目
CostCenter.name,部门/项目名称
Expense,支出
Incoming,收入
IncomingCategory,收入分类
ExpenseCategory,支出分类
incomingCategory,收入分类
expenseCategory,支出分类
costCenter,部门/项目
Supplier,供应商
Supplier.contact,联系人
Supplier.email,Email
Supplier.phone,电话
Supplier.qq,QQ号
Supplier.website,网站
Supplier.wholesaleRequirement,起批要求
Supplier.canMixedWholesale,是否可混批
ProductCategory,产品分类
ProductCategory.parentCategory,上级分类
ProductCategory.code,分类编码
Product,商品
Product.code,商品编码
Product.category,分类
Product.purchasePrice,进货价
Product.retailPrice,零售价
Product.grossProfitRateString,毛利率
Product.link,链接
Product.distinguishingFeature,产品特点
Product.leadDay,发货提前期
Product.deliverDay,到货时间
PurchaseOrder,采购订单
PurchaseOrder.orderDate,采购时间
PurchaseOrder.stockInDate,入库时间
PurchaseOrder.otherAmount,其他支出
SalesOrder,销售订单
SalesOrder.transactor,经办人
SalesOrder.orderDate,销售日期
SalesOrder.stockOutDate,出库时间
